,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
12083,внедорожник 5 дв.,белый,бензин,2006,5,2010,автоматическая,3.0 LTR,264 N12,222000.0,полный,Левый,3 или более,Дубликат,820000.0
12084,внедорожник 5 дв.,серый,бензин,2006,5,2007,автоматическая,3.0 LTR,272 N12,239139.0,полный,Левый,2владельца,Оригинал,750000.0
12085,внедорожник 5 дв.,серебристый,дизель,2013,5,2015,автоматическая,3.0 LTR,313 N12,128000.0,полный,Левый,2владельца,Оригинал,2800000.0
12086,внедорожник 5 дв.,белый,дизель,2013,5,2015,автоматическая,3.0 LTR,218 N12,91000.0,полный,Левый,2владельца,Оригинал,2750000.0
12087,внедорожник 5 дв.,серый,дизель,2018,5,2020,автоматическая,3.0 LTR,249 N12,7.0,полный,Левый,1владелец,Оригинал,6099000.0
12088,внедорожник 5 дв.,чёрный,дизель,2010,5,2010,автоматическая,3.0 LTR,245 N12,227000.0,полный,Левый,3 или более,Дубликат,1400000.0
12089,внедорожник 5 дв.,чёрный,бензин,1999,5,2002,автоматическая,3.0 LTR,231 N12,380000.0,полный,Левый,3 или более,Дубликат,600000.0
12090,внедорожник 5 дв.,чёрный,бензин,2003,5,2004,автоматическая,3.0 LTR,231 N12,210000.0,полный,Левый,3 или более,Оригинал,600000.0
12091,внедорожник 5 дв.,серый,дизель,2010,5,2010,автоматическая,3.0 LTR,306 N12,150000.0,полный,Левый,2владельца,Оригинал,1380000.0
12092,внедорожник 5 дв.,чёрный,дизель,2018,5,2020,автоматическая,3.0 LTR,249 N12,50.0,полный,Левый,1владелец,Оригинал,
12093,внедорожник 5 дв.,серебристый,дизель,2003,5,2006,автоматическая,3.0 LTR,218 N12,213000.0,полный,Левый,1владелец,Оригинал,900000.0
12094,внедорожник 5 дв.,серебристый,бензин,1999,5,2000,автоматическая,4.4 LTR,286 N12,238000.0,полный,Левый,3 или более,Дубликат,325000.0
12095,внедорожник 5 дв.,чёрный,дизель,2006,5,2010,автоматическая,3.0 LTR,269 N12,170000.0,полный,Левый,2владельца,Оригинал,1300000.0
12096,внедорожник 5 дв.,чёрный,дизель,2018,5,2019,автоматическая,3.0 LTR,249 N12,11038.0,полный,Левый,1владелец,Оригинал,5757300.0
12097,внедорожник 5 дв.,чёрный,бензин,2010,5,2011,автоматическая,3.0 LTR,306 N12,215000.0,полный,Левый,3 или более,Дубликат,1150000.0
12098,внедорожник 5 дв.,серый,дизель,2013,5,2018,автоматическая,3.0 LTR,313 N12,89127.0,полный,Левый,1владелец,Оригинал,3950000.0
12099,внедорожник 5 дв.,чёрный,бензин,2006,5,2007,автоматическая,3.0 LTR,272 N12,200000.0,полный,Левый,3 или более,Дубликат,850000.0
12100,внедорожник 5 дв.,чёрный,дизель,2010,5,2012,автоматическая,3.0 LTR,245 N12,199000.0,полный,Левый,2владельца,Оригинал,1800000.0
12101,внедорожник 5 дв.,чёрный,бензин,1999,5,2003,автоматическая,3.0 LTR,231 N12,203000.0,полный,Левый,2владельца,Оригинал,700000.0
12102,внедорожник 5 дв.,белый,дизель,2010,5,2013,автоматическая,3.0 LTR,245 N12,175000.0,полный,Левый,2владельца,Оригинал,2030000.0
12103,внедорожник 5 дв.,синий,бензин,1999,5,2002,автоматическая,3.0 LTR,231 N12,257000.0,полный,Левый,3 или более,Дубликат,390000.0
12104,внедорожник 5 дв.,чёрный,бензин,2006,5,2009,автоматическая,3.0 LTR,272 N12,199000.0,полный,Левый,3 или более,Оригинал,999000.0
12105,внедорожник 5 дв.,серый,бензин,2006,5,2007,автоматическая,4.8 LTR,355 N12,280000.0,полный,Левый,3 или более,Оригинал,674000.0
12106,внедорожник 5 дв.,чёрный,бензин,1999,5,2002,автоматическая,3.0 LTR,231 N12,350000.0,полный,Левый,3 или более,Дубликат,
12107,внедорожник 5 дв.,чёрный,бензин,1999,5,2002,автоматическая,4.6 LTR,347 N12,250000.0,полный,Левый,3 или более,Дубликат,500000.0
12108,внедорожник 5 дв.,синий,бензин,1999,5,2002,автоматическая,3.0 LTR,231 N12,260000.0,полный,Левый,3 или более,Оригинал,550000.0
12109,внедорожник 5 дв.,чёрный,бензин,2006,5,2009,автоматическая,4.8 LTR,355 N12,171000.0,полный,Левый,3 или более,Оригинал,999000.0
12110,внедорожник 5 дв.,чёрный,дизель,2013,5,2015,автоматическая,3.0 LTR,249 N12,105000.0,полный,Левый,3 или более,Оригинал,2820000.0
12111,внедорожник 5 дв.,чёрный,бензин,2006,5,2007,автоматическая,4.8 LTR,355 N12,180000.0,полный,Левый,2владельца,Оригинал,900000.0
12112,внедорожник 5 дв.,чёрный,бензин,2003,5,2004,автоматическая,3.0 LTR,231 N12,255000.0,полный,Левый,3 или более,Дубликат,550000.0
12113,внедорожник 5 дв.,синий,бензин,2010,5,2012,автоматическая,3.0 LTR,306 N12,98000.0,полный,Левый,2владельца,Оригинал,1470000.0
